Geneid,A25,A5,A9,B25,B5,B9,C25,C5,C9
gene_Tb427VSG-2,7179,73178,10795,7689,70601,11232,6762,70928,11530
gene_Tb427VSG-3039,4872,41264,33334,5920,35853,34598,5497,36398,33364
gene_Tb427VSG-23,413064,399745,432124,463716,326479,496247,464987,315952,490114
gene_Tb427VSG-649,445,2808,2264,689,2481,2571,473,2369,2581
gene_Tb427VSG-22,7060,9134,8664,6538,8278,9228,7010,8255,8864
gene_Tb427VSG-1117,1,2,0,1,2,0,0,0,0
gene_Tb427VSG-1387,55,1252,669,76,996,917,100,1086,800
gene_Tb427VSG-662,4,13,2,0,17,5,2,7,6
gene_Tb427VSG-825,185,2005,1446,195,1694,1630,173,1689,1625
gene_Tb427VSG-826,0,0,0,0,0,0,0,0,0
gene_Tb427VSG-11,323988,393281,405815,384694,349051,468124,386055,338175,451281
gene_Tb427VSG-3,121661,75279,92347,146215,68482,102102,133189,65129,97965
gene_Tb427VSG-6,112484,113328,135153,130298,98488,137944,117013,92390,137036
gene_Tb427VSG-8,31363,164602,133867,36244,146379,147673,33938,149653,149602
gene_Tb427VSG-9,38072,65640,62917,42542,54325,74065,45200,48931,73793
gene_Tb427VSG-17,35920,231482,171697,39133,193085,190887,37789,185659,198453
gene_Tb427VSG-13,2365,27754,19571,2595,24146,20582,2712,23302,20445
gene_Tb427VSG-1,391601,53804,91422,467581,46565,109104,463972,42495,101127
gene_Tb427VSG-18,139,2312,395,159,2127,485,191,2007,503
gene_Tb427VSG-21,764,22875,12342,1020,19929,13104,721,19077,13688
gene_Tb427VSG-14,203,265,170,224,272,229,250,277,213
gene_Tb427VSG-15,33,117,71,61,110,58,41,98,72
gene_Tb427VSG-397,41,81,55,35,96,71,36,36,58
gene_Tb427VSG-531,68,129,81,91,120,74,79,132,79
gene_Tb427VSG-653,34,70,35,46,76,47,40,82,47
gene_Tb427VSG-1954,17,50,32,22,50,24,27,59,30
gene_Tb427VSG-24,9842,14685,14789,11530,12050,15876,9936,12061,15142
gene_Tb427VSG-25,43917,66821,68482,50565,60843,74242,45135,57250,68561
gene_Tb427VSG-365,2439,5447,5380,2635,4459,5787,2762,4433,5581
gene_Tb427VSG-416,16629,8651,11166,20369,7262,12390,17830,7098,11308
gene_Tb427VSG-430,589,880,925,386,746,949,410,740,790
gene_Tb427VSG-476,280,3683,3096,334,3498,2834,313,3227,2628
gene_Tb427VSG-629,35124,24423,31039,36071,22765,32060,36452,22591,31429
gene_Tb427VSG-637,1684,1097,1419,2287,924,1442,1623,878,1457
gene_Tb427VSG-1963,1630,8611,7848,1787,7767,8259,1381,7761,8490
gene_Tb427VSG-663,39,593,335,21,443,527,23,458,388
gene_Tb427VSG-832,22667,14864,17069,25636,12367,21573,26081,11622,21609
gene_Tb427VSG-12,6406,8072,8941,7237,6905,8880,6234,7101,8390
gene_Tb427VSG-631,16950,16849,18894,17655,14787,20700,16880,14018,20877
gene_Tb427VSG-417,6957,15470,15211,7549,13449,15656,7159,12907,16916
gene_Tb427VSG-671,343,530,390,562,388,411,284,380,467
gene_Tb427VSG-374,1043,7776,5335,1401,6181,6558,1337,6014,6559
gene_Tb427VSG-322,1211,4783,4152,1651,4213,4321,1412,4038,4384
